postcode_district,year,avg_price,50th_percentile_price,num_transactions
BR1,1995,56119.3,53000.0,200
BR1,1996,55369.0,52500.0,293
BR1,1997,64486.3,58850.0,388
BR1,1998,75256.0,68750.0,273
BR1,1999,86145.4,78000.0,388
BR1,2000,110176.1,98375.0,370
BR1,2001,120563.6,108250.0,388
BR1,2002,142836.1,131500.0,483
BR1,2003,166269.6,154000.0,387
BR1,2004,168312.3,155000.0,410
BR1,2005,180753.0,170000.0,358
BR1,2006,199288.7,186650.0,560
BR1,2007,209816.3,199995.0,589
BR1,2008,201615.5,190000.0,217
BR1,2009,189725.7,180000.0,227
BR1,2010,201297.9,193000.0,189
BR1,2011,200268.8,188000.0,213
BR1,2012,207864.2,200000.0,221
BR1,2013,214808.4,207000.0,289
BR1,2014,248276.8,235000.0,388
BR1,2015,287732.5,278825.0,523
BR1,2016,344282.1,315000.0,387
BR1,2017,337647.7,318000.0,333
BR1,2018,324186.5,310000.0,234
BR1,2019,322373.2,300000.0,245
BR1,2020,328979.5,302250.0,222
BR1,2021,333974.9,315000.0,305
BR1,2022,351386.0,330000.0,305
BR1,2023,338932.5,317750.0,212
BR1,2024,337990.0,311250.0,250
BR1,2025,351755.6,323000.0,233
BR1,2026,315333.3,340000.0,3
BR2,1995,54266.0,51500.0,176
BR2,1996,58503.9,53500.0,249
BR2,1997,68166.6,62000.0,361
BR2,1998,78210.4,73000.0,366
BR2,1999,94748.0,84950.0,417
BR2,2000,104660.0,93500.0,309
BR2,2001,125915.1,112500.0,347
BR2,2002,137099.6,130000.0,360
BR2,2003,162538.2,155000.0,280
BR2,2004,188633.0,177000.0,387
BR2,2005,211859.3,180000.0,353
BR2,2006,212263.6,180000.0,404
BR2,2007,227199.9,210000.0,401
BR2,2008,228519.6,206500.0,200
BR2,2009,197507.1,175000.0,153
BR2,2010,218140.1,199000.0,205
BR2,2011,238126.0,205000.0,227
BR2,2012,218274.2,219997.5,296
BR2,2013,222725.8,227450.0,301
BR2,2014,261421.9,249972.5,356
BR2,2015,281874.0,272500.0,385
BR2,2016,330482.2,319997.5,326
BR2,2017,337434.5,320000.0,248
BR2,2018,344447.5,322500.0,251
BR2,2019,327772.6,320000.0,307
BR2,2020,340811.3,325000.0,226
BR2,2021,346299.3,320000.0,389
BR2,2022,349062.3,330000.0,284
BR2,2023,340861.9,315000.0,163
BR2,2024,340788.8,325000.0,209
BR2,2025,342667.1,330000.0,184
BR2,2026,405000.0,405000.0,1
BR3,1995,62036.3,57000.0,381
BR3,1996,61662.4,54975.0,460
BR3,1997,63513.2,59500.0,621
BR3,1998,79875.2,71725.0,674
BR3,1999,91889.6,82000.0,691
BR3,2000,117076.4,104750.0,634
BR3,2001,136804.3,120000.0,656
BR3,2002,165027.9,142500.0,733
BR3,2003,185916.9,164250.0,668
BR3,2004,205778.1,179950.0,627
BR3,2005,203772.5,180000.0,587
BR3,2006,208174.6,194950.0,824
BR3,2007,226698.1,217000.0,729
BR3,2008,227694.3,210000.0,329
BR3,2009,205565.5,200000.0,369
BR3,2010,220726.7,210000.0,326
BR3,2011,212690.8,205000.0,331
BR3,2012,226052.9,210000.0,407
BR3,2013,256009.1,237500.0,432
BR3,2014,290219.7,270000.0,582
BR3,2015,311513.0,295000.0,479
BR3,2016,338080.2,323250.0,468
BR3,2017,350572.5,349950.0,337
BR3,2018,348610.3,338000.0,367
BR3,2019,357913.8,336500.0,334
BR3,2020,357133.1,339000.0,336
BR3,2021,360336.4,349000.0,522
BR3,2022,366731.5,360000.0,437
BR3,2023,353781.1,350000.0,346
BR3,2024,347328.7,330880.0,391
BR3,2025,363994.5,342000.0,339
BR3,2026,345800.0,375000.0,5
BR4,1995,53569.8,49000.0,47
BR4,1996,54560.2,52975.0,58
BR4,1997,48756.0,50000.0,67
BR4,1998,61019.5,61250.0,66
BR4,1999,71832.9,66000.0,65
BR4,2000,96500.0,95000.0,55
BR4,2001,95950.7,89500.0,64
BR4,2002,137508.3,136500.0,78
BR4,2003,146122.8,150000.0,67
BR4,2004,164240.7,161200.0,72
BR4,2005,146820.4,150000.0,66
BR4,2006,172163.1,173500.0,61
BR4,2007,176992.2,176250.0,60
BR4,2008,220446.8,232500.0,74
BR4,2009,172398.8,175000.0,47
BR4,2010,177699.1,190000.0,55
BR4,2011,169416.2,181250.0,48
BR4,2012,191768.2,210000.0,37
BR4,2013,175816.5,187500.0,49
BR4,2014,208042.6,226000.0,48
BR4,2015,230610.2,240000.0,59
BR4,2016,339181.3,350000.0,107
BR4,2017,243749.1,261000.0,54
BR4,2018,258000.0,295000.0,48
BR4,2019,220005.3,227500.0,38
BR4,2020,250569.0,224000.0,29
BR4,2021,267761.6,270000.0,43
BR4,2022,257787.5,259500.0,40
BR4,2023,269017.9,247500.0,28
BR4,2024,259345.1,299950.0,41
BR4,2025,269481.4,325000.0,32
BR5,1995,44328.0,44000.0,92
BR5,1996,42368.7,41000.0,84
BR5,1997,47915.9,48500.0,141
BR5,1998,56027.3,55000.0,109
BR5,1999,63214.2,59995.0,142
BR5,2000,75144.5,72500.0,130
BR5,2001,86933.3,85000.0,151
BR5,2002,99189.4,99500.0,161
BR5,2003,119081.4,116900.0,130
BR5,2004,137684.9,140000.0,133
BR5,2005,145364.3,144000.0,129
BR5,2006,138505.8,136750.0,204
BR5,2007,148364.5,144000.0,159
BR5,2008,158897.6,160000.0,87
BR5,2009,138519.2,137500.0,62
BR5,2010,149192.9,139995.0,43
BR5,2011,136771.1,129250.0,45
BR5,2012,151965.0,150000.0,55
BR5,2013,155730.7,147500.0,75
BR5,2014,183439.3,185000.0,132
BR5,2015,202969.2,197497.5,140
BR5,2016,218476.6,222500.0,97
BR5,2017,228475.9,231500.0,104
BR5,2018,248075.2,250000.0,112
BR5,2019,237644.0,237000.0,102
BR5,2020,224746.7,230000.0,79
BR5,2021,249950.9,260000.0,109
BR5,2022,273813.2,262500.0,127
BR5,2023,265634.7,273750.0,72
BR5,2024,257750.0,260000.0,89
BR5,2025,260666.7,271000.0,54
BR5,2026,217000.0,217000.0,1
BR6,1995,57655.4,56375.0,82
BR6,1996,55476.2,54500.0,89
BR6,1997,57155.5,57125.0,144
BR6,1998,73225.2,67500.0,87
BR6,1999,75240.9,72500.0,119
BR6,2000,90857.3,87500.0,102
BR6,2001,100979.1,96500.0,108
BR6,2002,121331.0,122250.0,126
BR6,2003,137245.4,132500.0,98
BR6,2004,162922.0,153000.0,117
BR6,2005,163777.3,160000.0,91
BR6,2006,164221.6,158750.0,122
BR6,2007,176637.9,173250.0,130
BR6,2008,184046.0,179997.5,78
BR6,2009,164938.6,163000.0,81
BR6,2010,184014.1,185000.0,119
BR6,2011,178230.4,179250.0,64
BR6,2012,174404.0,175000.0,73
BR6,2013,198432.8,195000.0,88
BR6,2014,217397.1,216997.5,92
BR6,2015,263187.3,267000.0,87
BR6,2016,268946.1,252725.0,142
BR6,2017,297434.5,290000.0,157
BR6,2018,338413.8,325000.0,169
BR6,2019,291081.0,290000.0,104
BR6,2020,287283.0,276600.0,94
BR6,2021,286548.2,280000.0,114
BR6,2022,337257.7,315000.0,165
BR6,2023,312478.1,318000.0,103
BR6,2024,300990.8,290000.0,97
BR6,2025,281069.6,275000.0,79
BR6,2026,276666.7,260000.0,3
BR7,1995,69543.3,61500.0,52
BR7,1996,82065.5,70000.0,85
BR7,1997,82291.0,69000.0,121
BR7,1998,90139.1,83250.0,84
BR7,1999,105733.7,91475.0,86
BR7,2000,151188.8,123500.0,134
BR7,2001,142054.1,124000.0,125
BR7,2002,160147.5,149995.0,132
BR7,2003,195117.8,177000.0,109
BR7,2004,288020.8,229000.0,132
BR7,2005,231709.3,172500.0,91
BR7,2006,212578.3,195000.0,109
BR7,2007,260059.9,233000.0,131
BR7,2008,265243.4,220000.0,55
BR7,2009,300365.7,210000.0,41
BR7,2010,262797.6,220000.0,83
BR7,2011,280981.0,215000.0,63
BR7,2012,269743.6,235000.0,83
BR7,2013,258930.7,245000.0,113
BR7,2014,286272.3,280000.0,122
BR7,2015,347670.6,335475.0,152
BR7,2016,360173.8,356000.0,105
BR7,2017,400860.1,352500.0,82
BR7,2018,403097.8,356162.0,142
BR7,2019,422441.3,413500.0,86
BR7,2020,377010.7,328750.0,70
BR7,2021,468264.3,380000.0,129
BR7,2022,407875.1,366500.0,88
BR7,2023,373055.9,350000.0,76
BR7,2024,399906.2,385000.0,64
BR7,2025,407293.4,372000.0,61
BR7,2026,450000.0,360000.0,3
BR8,1995,37858.5,42000.0,17
BR8,1996,51283.6,49950.0,45
BR8,1997,55465.2,54000.0,64
BR8,1998,60236.9,57975.0,54
BR8,1999,55830.4,53250.0,52
BR8,2000,62757.2,64000.0,53
BR8,2001,71084.4,72000.0,49
BR8,2002,83183.3,81500.0,58
BR8,2003,146296.2,107500.0,56
BR8,2004,136371.9,120000.0,43
BR8,2005,123719.6,128000.0,39
BR8,2006,140072.4,138000.0,59
BR8,2007,148525.8,144500.0,48
BR8,2008,142267.8,137250.0,34
BR8,2009,133220.0,135000.0,10
BR8,2010,137766.7,125000.0,30
BR8,2011,132153.3,140000.0,47
BR8,2012,112573.9,113000.0,23
BR8,2013,128098.3,125000.0,32
BR8,2014,134352.2,134000.0,44
BR8,2015,163110.9,157000.0,54
BR8,2016,191961.9,195000.0,79
BR8,2017,200724.5,217500.0,49
BR8,2018,246769.9,231250.0,50
BR8,2019,273700.7,261500.0,68
BR8,2020,248622.4,251950.0,58
BR8,2021,236027.9,222500.0,52
