postcode_area,postcode_district,PostDist,is_london?,property_type,year,num_transactions,avg_price,stddev_price,25th_percentile_price,median_price,75th_percentile_price,90th_percentile_price,95th_percentile_price,skewness_price,kurtosis_price,coef_var,iqr,median_mean_diff,median_mean_diff_pct,iqr_pct,lag_median_price,median_pct_change_1_year,roll_median_pct_2_year,roll_median_pct_5_year,is_good_sample
BR,BR1,BR1,Greater London,F,1995,200,56119.3,21696.6,44000.0,53000.0,60000.0,75380.3,88097.5,2.66,11.51,38.7,16000.0,-3119.3,5.9,30.2,0.0,0.0,0.0,0.0,False
BR,BR1,BR1,Greater London,F,1996,293,55369.0,20236.2,43000.0,52500.0,63000.0,77000.0,90400.0,2.01,7.03,36.5,20000.0,-2869.0,5.5,38.1,53000.0,-0.9,-0.9,-0.9,False
BR,BR1,BR1,Greater London,F,1997,388,64486.3,29946.7,48500.0,58850.0,71500.0,89963.5,119300.0,2.49,9.6,46.4,23000.0,-5636.3,9.6,39.1,52500.0,12.1,5.6,5.6,False
BR,BR1,BR1,Greater London,F,1998,273,75256.0,31644.4,57000.0,68750.0,86000.0,114600.0,135000.0,2.41,10.67,42.0,29000.0,-6506.0,9.5,42.2,58850.0,16.8,14.4,9.3,False
BR,BR1,BR1,Greater London,F,1999,388,86145.4,37621.4,62500.0,78000.0,96962.5,125965.0,140000.0,2.88,13.79,43.7,34462.5,-8145.4,10.4,44.2,68750.0,13.5,15.2,10.4,False
BR,BR1,BR1,Greater London,F,2000,370,110176.1,47424.2,82000.0,98375.0,129000.0,162845.0,210500.0,1.89,5.29,43.0,47000.0,-11801.1,12.0,47.8,78000.0,26.1,19.8,13.5,False
BR,BR1,BR1,Greater London,F,2001,388,120563.6,50535.5,89983.8,108250.0,135625.0,165750.0,219300.0,2.07,5.69,41.9,45641.2,-12313.6,11.4,42.2,98375.0,10.0,18.1,15.7,False
BR,BR1,BR1,Greater London,F,2002,483,142836.1,54083.9,108750.0,131500.0,166500.0,215000.0,248855.0,1.27,2.65,37.9,57750.0,-11336.1,8.6,43.9,108250.0,21.5,15.8,17.6,False
BR,BR1,BR1,Greater London,F,2003,387,166269.6,56148.2,130500.0,154000.0,183666.0,247700.0,284998.5,1.52,3.17,33.8,53166.0,-12269.6,8.0,34.5,131500.0,17.1,19.3,17.6,False
BR,BR1,BR1,Greater London,F,2004,410,168312.3,57309.1,137125.0,155000.0,185000.0,237000.0,273272.5,2.22,9.46,34.0,47875.0,-13312.3,8.6,30.9,154000.0,0.6,8.9,15.1,False
BR,BR1,BR1,Greater London,F,2005,358,180753.0,56295.7,146000.0,170000.0,207238.2,249996.2,285000.0,1.57,4.83,31.1,61238.2,-10753.0,6.3,36.0,155000.0,9.7,5.2,11.8,False
BR,BR1,BR1,Greater London,F,2006,560,199288.7,62367.7,153875.0,186650.0,240000.0,284950.0,305000.0,1.13,2.37,31.3,86125.0,-12638.7,6.8,46.1,170000.0,9.8,9.8,11.7,False
BR,BR1,BR1,Greater London,F,2007,589,209816.3,84638.8,165000.0,199995.0,232000.0,287600.0,327996.4,5.92,63.07,40.3,67000.0,-9821.3,4.9,33.5,186650.0,7.1,8.5,8.9,False
BR,BR1,BR1,Greater London,F,2008,217,201615.5,61666.7,165000.0,190000.0,230000.0,271000.0,311400.0,1.88,8.46,30.6,65000.0,-11615.5,6.1,34.2,199995.0,-5.0,1.1,4.4,False
BR,BR1,BR1,Greater London,F,2009,227,189725.7,57864.6,155000.0,180000.0,225000.0,250000.0,280000.0,1.02,2.95,30.5,70000.0,-9725.7,5.4,38.9,190000.0,-5.3,-5.1,3.3,False
BR,BR1,BR1,Greater London,F,2010,189,201297.9,70925.6,166000.0,193000.0,229000.0,277990.0,299998.0,1.59,5.9,35.2,63000.0,-8297.9,4.3,32.6,180000.0,7.2,1.0,2.8,False
BR,BR1,BR1,Greater London,F,2011,213,200268.8,78763.7,157500.0,188000.0,232500.0,274000.0,342400.0,2.01,6.74,39.3,75000.0,-12268.8,6.5,39.9,193000.0,-2.6,2.3,0.3,False
BR,BR1,BR1,Greater London,F,2012,221,207864.2,61235.5,165000.0,200000.0,240000.0,280000.0,330000.0,1.01,2.01,29.5,75000.0,-7864.2,3.9,37.5,188000.0,6.4,1.9,0.1,False
BR,BR1,BR1,Greater London,F,2013,289,214808.4,64562.4,174000.0,207000.0,248000.0,281300.0,317000.0,2.47,16.47,30.1,74000.0,-7808.4,3.8,35.7,200000.0,3.5,5.0,1.8,False
BR,BR1,BR1,Greater London,F,2014,388,248276.8,97542.9,185000.0,235000.0,288612.5,347650.0,408250.0,1.85,6.45,39.3,103612.5,-13276.8,5.6,44.1,207000.0,13.5,8.5,5.6,False
BR,BR1,BR1,Greater London,F,2015,523,287732.5,93917.2,234250.0,278825.0,338250.0,380000.0,414300.0,1.79,9.96,32.6,104000.0,-8907.5,3.2,37.3,235000.0,18.6,16.1,7.9,False
BR,BR1,BR1,Greater London,F,2016,387,344282.1,155779.1,260000.0,315000.0,383750.0,477000.0,667430.0,2.19,7.33,45.2,123750.0,-29282.1,9.3,39.3,278825.0,13.0,15.8,11.0,False
BR,BR1,BR1,Greater London,F,2017,333,337647.7,119618.8,265000.0,318000.0,388000.0,485000.0,597000.0,1.18,2.31,35.4,123000.0,-19647.7,6.2,38.7,315000.0,1.0,7.0,9.9,False
BR,BR1,BR1,Greater London,F,2018,234,324186.5,121637.5,255306.2,310000.0,364500.0,458500.0,530000.0,1.85,6.4,37.5,109193.8,-14186.5,4.6,35.2,318000.0,-2.5,-0.7,8.7,False
BR,BR1,BR1,Greater London,F,2019,245,322373.2,128588.1,260000.0,300000.0,360000.0,445000.0,526400.0,2.53,10.5,39.9,100000.0,-22373.2,7.5,33.3,310000.0,-3.2,-2.8,5.4,False
BR,BR1,BR1,Greater London,F,2020,222,328979.5,153988.4,252000.0,302250.0,366875.0,479500.0,568000.0,3.22,18.0,46.8,114875.0,-26729.5,8.8,38.0,300000.0,0.8,-1.2,1.8,False
BR,BR1,BR1,Greater London,F,2021,305,333974.9,125372.6,264000.0,315000.0,372500.0,456000.0,534600.0,2.45,12.21,37.5,108500.0,-18974.9,6.0,34.4,302250.0,4.2,2.5,0.1,False
BR,BR1,BR1,Greater London,F,2022,305,351386.0,133735.6,272500.0,330000.0,390000.0,468800.0,612000.0,1.89,5.9,38.1,117500.0,-21386.0,6.5,35.6,315000.0,4.8,4.5,0.8,False
BR,BR1,BR1,Greater London,F,2023,212,338932.5,153288.4,270000.0,317750.0,375625.0,483270.0,641125.0,2.91,17.65,45.2,105625.0,-21182.5,6.7,33.2,330000.0,-3.7,0.6,0.6,False
BR,BR1,BR1,Greater London,F,2024,250,337990.0,159114.0,255000.0,311250.0,378750.0,455750.0,580000.0,3.01,14.05,47.1,123750.0,-26740.0,8.6,39.8,317750.0,-2.0,-2.8,0.8,False
BR,BR1,BR1,Greater London,F,2025,233,351755.6,146589.1,270000.0,323000.0,410000.0,525000.0,617000.0,1.3,3.5,41.7,140000.0,-28755.6,8.9,43.3,311250.0,3.8,0.9,1.4,False
BR,BR1,BR1,Greater London,F,2026,3,315333.3,70323.1,288000.0,340000.0,355000.0,364000.0,367000.0,-1.38,,22.3,67000.0,24666.7,7.3,19.7,323000.0,5.3,4.6,1.6,False
BR,BR2,BR2,Greater London,F,1995,176,54266.0,18151.7,45750.0,51500.0,59961.2,72750.0,81750.0,2.01,8.98,33.4,14211.2,-2766.0,5.4,27.6,0.0,0.0,0.0,0.0,False
BR,BR2,BR2,Greater London,F,1996,249,58503.9,33475.5,46000.0,53500.0,64000.0,79100.0,89400.0,7.72,77.57,57.2,18000.0,-5003.9,9.4,33.6,51500.0,3.9,3.9,3.9,False
BR,BR2,BR2,Greater London,F,1997,361,68166.6,34765.6,52000.0,62000.0,75000.0,91000.0,112500.0,5.06,38.63,51.0,23000.0,-6166.6,9.9,37.1,53500.0,15.9,9.9,9.9,False
BR,BR2,BR2,Greater London,F,1998,366,78210.4,29554.0,60000.0,73000.0,90000.0,114450.0,122500.0,3.03,23.7,37.8,30000.0,-5210.4,7.1,41.1,62000.0,17.7,16.8,12.5,False
BR,BR2,BR2,Greater London,F,1999,417,94748.0,37048.9,68000.0,84950.0,114500.0,143170.0,169950.0,1.36,2.18,39.1,46500.0,-9798.0,11.5,54.7,73000.0,16.4,17.0,13.5,False
BR,BR2,BR2,Greater London,F,2000,309,104660.0,35644.3,83500.0,93500.0,119950.0,154190.0,176200.0,1.5,3.76,34.1,36450.0,-11160.0,11.9,39.0,84950.0,10.1,13.2,12.8,False
